Name,Residual_Charging_Band,Import_Super_Red_charge,Import_fixed_charge,Export_Super_Red_charge,Export_fixed_charge
B&RLTD,1,2.57,915.78,0,0
BEDDIN,2,0.01,6187.9,0,0
BP_OIL,1,0,915.78,0,0
CHESDC,3,0,9870.55,0,0
DIGREA,4,0,25598.07,0,0
EUROTU,4,0,125905.33,0,0
GAT_AF,3,0.62,12939.47,0,0
GAT_BF,3,0.86,10888.51,0,0
KNGSPN,4,0.33,23862.93,0,0
NP_LAB,1,2.19,1162.89,0,0
NR_3BR,4,1.04,24926.31,0,0
NR_AFD,3,0.75,10888.51,0,0
NR_ASH,3,0.49,10888.51,0,0
NR_BRI,4,0.43,24926.31,0,0
NR_BYF,4,0.47,24926.31,0,0
NR_CAN,2,0,6773.27,0,0
NR_CRO,4,0.03,24571.85,0,0
NR_DOR,2,3.98,6773.27,0,0
NR_EAS,2,3.02,6773.27,0,0
NR_FOK,2,0.86,6773.27,0,0
NR_HAS,2,0,10469,0,0
NR_LEA,4,3.35,24571.85,0,0
NR_MAI,3,7.71,10888.51,0,0
NR_NOR,4,0,25280.77,0,0
NR_QUE,1,0,1041.04,0,0
NR_SIT,3,0.01,10888.51,0,0
NR_THA,2,6.11,6773.27,0,0
NR_TUN,3,8.96,10888.51,0,0
PFIZER,2,0.09,8416.55,0,0
SENTIV,4,0.03,101399.49,0,0
THAMEM,4,0,28198.88,0,3251.96
THAMES,2,0,9387.38,0,1949.51
TWHK66,2,6.28,6277.38,-5.42,34.08
ANMSTR,0,6.11,38.56,-4.64,1082.16
ASHBYS,0,0.48,10.88,0,1109.4
ASHGEN,1,0,772.45,0,3113.43
AYLESF,4,0,24217.39,0,0
BEDERF,0,0.03,382.75,-0.35,2719.51
BESAYL,0,0,390.29,0,390.29
BNTLEY,0,7.35,9.79,0,978.63
BNTLY2,0,7.35,7.46,0,626.5
BOBBNG,0,0.01,5.31,0,1061.94
BRAMBS,0,0.2,390.29,-0.27,390.29
BRELLE,1,0,706.83,0,814.09
BRETSH,0,0,25.41,0,0
BRKHST,2,1.33,7903.2,-2.76,5463.27
BTBRKS,1,2.78,723.71,0,1223.33
CAPELG,1,4.54,669.64,0,793.95
CLYHLL,0,1.14,7.37,0,737.38
CRYENG,0,0,126.63,0,337.67
DARENT,1,0.09,814.58,-0.13,2247.14
DSCPRK,3,0.09,11203.97,-0.13,1372.27
FORDSF,0,0.29,12.81,0,731.95
FRWOOD,0,0,20.22,0,1011.19
GLASSN,0,0,433.79,0,433.79
GROVEH,4,0,24327.79,0,0
GUSTON,0,0.13,17.11,0,1710.89
HADLOW,0,9.72,2.06,0,778.53
HANSTA,0,0,2.04,0,0
HLLMBY,0,0,10.63,0,856.94
HORAMS,0,0.09,14.88,0,1933.86
KENTI2,1,0,673.71,0,349.41
KENTIS,1,0,676.37,0,0
KM3CHP,2,0,6358.48,0,2787
KNTSFM,0,0.51,834.04,-0.87,878.2
KNWLTN,0,0,15.3,0,1446.11
LBOURN,0,0,8.88,0,832.62
LCHEYI,0,0.02,6.63,0,860.94
LENHAM,0,0.69,14.47,0,1446.94
LGHTON,0,4.38,12.41,0,868.51
MARSHB,0,0.09,22.62,0,922.8
MLEHLL,0,0,2.81,0,351.65
MLMAYN,0,0.32,1.55,0,743.21
MVVRID,0,0,1134.96,0,5969.89
NEWHVN,0,1.39,44.31,-1.58,310.15
NEWRID,1,0.03,672.63,0,1586.44
OAKLND,0,1.76,6.46,0,709.63
OLDRSF,0,0,4.67,0,933.58
ORCHRD,0,0.01,5.86,0,1054.23
PADWSF,0,9.75,4.9,0,775.69
POSHWF,0,0,6.95,0,347.51
PRIORS,0,0.3,4.87,0,732.72
PSHLEY,0,0,13.23,0,1322.77
SELLSF,0,0.15,4.19,0,812.23
SEVIND,0,2.07,1.53,-2.07,122.03
SHEPHM,0,4.45,51.82,0,1943.21
SHORHM,2,0.01,6373.36,0,0
SOLEES,0,0.03,42.97,0,1804.86
STAREN,1,0.31,2135.87,0,0
SYCAMR,0,1.59,65.16,0,2345.81
THAEAR,4,0,27489.9,-1.88,3626.97
THANET,1,0.02,684.98,0,1718.83
THORNE,0,0.35,22.07,0,2295.73
TONGSF,1,0.01,702.23,0,2610.32
WDLNDS,0,0,24.81,0,2977.4
WIDHFM,0,1.58,19.37,0,1549.54
WLBEES,0,1.99,3.51,0,350.95
WRGALL,0,0,817.77,0,0
WSTWDX,0,0.35,14.47,0,1446.94
